Title,Location,Description,nTile10,nTile25,nTile50,nTile75,nTile90
Data Analyst,North Dakota,,64526,72237,80706,90296,99027
Data Analyst,Minnesota,,68867,77097,86136,96371,105690
Data Analyst,Illinois,,69049,77300,86362,96625,105968
Data Analyst,Wisconsin,,66193,74103,82790,92628,101585
Data Analyst,Michigan,,66648,74613,83360,93266,102284
Data Analyst,New York,,71710,80279,89691,100349,110052
Data Analyst,Rhode Island,,70426,78842,88086,98553,108082
Data Analyst,Massachusetts,,73135,81874,91473,102342,112238
Data Analyst,Oregon,,67564,75637,84505,94546,103689
Data Analyst,Nevada,,67927,76044,84959,95054,104246
Data Analyst,Wyoming,,61811,69198,77310,86497,94861
Data Analyst,South Dakota,,59217,66294,74066,82867,90880
Data Analyst,Iowa,,64311,71996,80437,89995,98697
Data Analyst,Indiana,,65534,73365,81967,91707,100574
Data Analyst,Ohio,,65909,73784,82435,92230,101149
Data Analyst,Pennsylvania,,67066,75081,83883,93851,102926
Data Analyst,New Jersey,,73981,82822,92532,103527,113538
Data Analyst,Connecticut,,72429,81084,90590,101355,111155
Data Analyst,California,,74123,82980,92708,103725,113754
Data Analyst,Utah,,63586,71184,79530,88980,97584
Data Analyst,Colorado,,67893,76006,84917,95007,104194
Data Analyst,Nebraska,,63055,70589,78865,88236,96769
Data Analyst,Missouri,,64032,71684,80088,89605,98269
Data Analyst,Kentucky,,63236,70792,79092,88490,97047
Data Analyst,West Virginia,,60513,67744,75686,84680,92868
Data Analyst,Virginia,,66798,74780,83547,93474,102513
Data Analyst,Maryland,,69288,77568,86662,96960,106335
Data Analyst,Delaware,,68646,76848,85858,96060,105349
Data Analyst,Arizona,,65817,73681,82320,92101,101007
Data Analyst,New Mexico,,61986,69393,77529,86741,95129
Data Analyst,Kansas,,63989,71635,80033,89544,98202
Data Analyst,Arkansas,,61240,68558,76596,85697,93984
Data Analyst,Tennessee,,61778,69160,77268,86450,94809
Data Analyst,North Carolina,,64513,72222,80689,90277,99007
Data Analyst,South Carolina,,63445,71026,79353,88783,97368
Data Analyst,District of Columbia,,74808,83747,93566,104684,114806
Data Analyst,Oklahoma,,62135,69559,77714,86949,95357
Data Analyst,Louisiana,,63895,71530,79916,89412,98058
Data Analyst,Mississippi,,59930,67091,74957,83864,91973
Data Analyst,Alabama,,61737,69115,77218,86393,94747
Data Analyst,Georgia,,65207,72999,81557,91249,100072
Data Analyst,Hawaii,,70507,78932,88186,98665,108206
Data Analyst,Texas,,66058,73952,82622,92440,101379
Data Analyst,Florida,,63841,71469,79849,89337,97975
Title,Location,Description,nTile10,nTile25,nTile50,nTile75,nTile90
Data Engineer,Alaska,,93695,109340,126524,145334,162460
Data Engineer,Maine,,82789,96612,111795,128416,143549
Data Engineer,Vermont,,82703,96512,111679,128283,143400
Data Engineer,New Hampshire,,87014,101543,117501,134970,150875
Data Engineer,Washington,,92141,107526,124424,142923,159765
Data Engineer,Idaho,,79736,93050,107674,123682,138256
Data Engineer,Montana,,78511,91620,106019,121781,136132
Data Engineer,North Dakota,,82462,96231,111355,127910,142983
Data Engineer,Minnesota,,88010,102705,118846,136516,152602
Data Engineer,Illinois,,88242,102976,119159,136875,153004
Data Engineer,Wisconsin,,84592,98717,114231,131214,146676
Data Engineer,Michigan,,85174,99396,115017,132117,147685
Data Engineer,New York,,91643,106945,123752,142150,158901
Data Engineer,Rhode Island,,90002,105031,121537,139606,156057
Data Engineer,Massachusetts,,93463,109069,126210,144974,162058
Data Engineer,Oregon,,86344,100761,116596,133931,149714
Data Engineer,Nevada,,86808,101302,117223,134651,150518
Data Engineer,Wyoming,,78993,92182,106669,122528,136967
Data Engineer,South Dakota,,75678,88314,102193,117386,131219
Data Engineer,Iowa,,82187,95911,110984,127484,142506
Data Engineer,Indiana,,83750,97735,113094,129908,145217
Data Engineer,Ohio,,84229,98293,113740,130650,146046
Data Engineer,Pennsylvania,,85708,100020,115738,132945,148612
